Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
US,CO,80722*,*,3.9000,ATWOOD,1,1,0,
US,CO,80723*,*,6.9000,BRUSH,1,1,0,
US,CO,80726*,*,3.9000,CROOK,1,1,0,
US,CO,80727*,*,5.0000,ECKLEY,1,1,0,
US,CO,80728*,*,5.9000,FLEMING,1,1,0,
US,CO,80729*,*,3.9000,GROVER,1,1,0,
US,CO,80731*,*,5.9000,FLEMING,1,1,0,
US,CO,80732*,*,2.9000,HEREFORD,1,1,0,
US,CO,80733*,*,2.9000,HILLROSE,1,1,0,
US,CO,80734*,*,5.0000,ECKLEY,1,1,0,
US,CO,80735*,*,2.9000,IDALIA,1,1,0,
US,CO,80736*,*,3.9000,ILIFF,1,1,0,
US,CO,80737*,*,8.2000,JULESBURG,1,1,0,
US,CO,80740*,*,4.4000,LINDON,1,1,0,
US,CO,80741*,*,6.9000,AKRON,1,1,0,
US,CO,80742*,*,5.9000,FORT MORGAN,1,1,0,
US,CO,80743*,*,3.9000,MERINO,1,1,0,
US,CO,80744*,*,6.9000,OVID,1,1,0,
US,CO,80745*,*,3.9000,PADRONI,1,1,0,
US,CO,80746*,*,7.4000,HAXTUN,1,1,0,
US,CO,80747*,*,3.9000,PEETZ,1,1,0,
US,CO,80749*,*,6.9000,SEDGWICK,1,1,0,
US,CO,80750*,*,2.9000,SNYDER,1,1,0,
US,CO,80751*,*,7.0000,STERLING,1,1,0,
US,CO,80754*,*,2.9000,STONEHAM,1,1,0,
US,CO,80755*,*,2.9000,VERNON,1,1,0,
US,CO,80757*,*,4.4000,WOODROW,1,1,0,
US,CO,80758*,*,5.4000,WRAY,1,1,0,
US,CO,80759*,*,5.9000,YUMA,1,1,0,
US,CO,80801*,*,4.4000,ANTON,1,1,0,
US,CO,80802*,*,2.9000,ARAPAHOE,1,1,0,
US,CO,80804*,*,4.9000,ARRIBA,1,1,0,
US,CO,80805*,*,2.9000,BETHUNE,1,1,0,
US,CO,80807*,*,5.9000,BURLINGTON,1,1,0,
US,CO,80808*,*,8.1300,CALHAN,1,1,0,
US,CO,80809*,*,5.1300,CASCADE,1,1,0,
US,CO,80810*,*,4.9000,CHEYENNE WELLS,1,1,0,
US,CO,80812*,*,4.4000,COPE,1,1,0,
US,CO,80813*,*,6.2000,CRIPPLE CREEK,1,1,0,
US,CO,80814*,*,3.9000,DIVIDE,1,1,0,
US,CO,80815*,*,4.4000,COPE,1,1,0,
US,CO,80816*,*,3.9000,FLORISSANT,1,1,0,
US,CO,80817*,*,7.8800,FOUNTAIN,1,1,0,
US,CO,80818*,*,4.9000,GENOA,1,1,0,
US,CO,80819*,*,8.1300,GREEN MOUNTAIN FALLS,1,1,0,
US,CO,80820*,*,3.9000,GUFFEY,1,1,0,
US,CO,80821*,*,4.9000,BOYERO,1,1,0,
US,CO,80822*,*,2.9000,JOES,1,1,0,
US,CO,80823*,*,4.9000,KARVAL,1,1,0,
US,CO,80824*,*,2.9000,KIRK,1,1,0,
US,CO,80825*,*,4.9000,KIT CARSON,1,1,0,
US,CO,80826*,*,7.6500,LIMON,1,1,0,
US,CO,80827*,*,3.9000,FLORISSANT,1,1,0,
US,CO,80828*,*,7.6500,LIMON,1,1,0,
US,CO,80829*,*,9.0300,MANITOU SPRINGS,1,1,0,
US,CO,80830*,*,3.9000,MATHESON,1,1,0,
US,CO,80831*,*,3.9000,ELBERT,1,1,0,
US,CO,80832*,*,7.6500,LIMON,1,1,0,
US,CO,80833*,*,4.9000,KARVAL,1,1,0,
US,CO,80834*,*,4.4000,COPE,1,1,0,
US,CO,80835*,*,7.1300,RAMAH,1,1,0,
US,CO,80836*,*,4.9000,STRATTON,1,1,0,
